Area,Midpoint,Confidence,ID,Class
1629.8713,"(764.1011962890625, 569.6212158203125)",0.6673303,1.0,4.0
1598.6123,"(763.3602294921875, 569.9087524414062)",0.6892724,1.0,4.0
1634.4215,"(762.5098876953125, 570.2496337890625)",0.6883185,1.0,4.0
1618.5693,"(762.64208984375, 569.7235107421875)",0.6793385,1.0,4.0
1667.324,"(763.0720825195312, 568.546142578125)",0.65071356,1.0,4.0
1651.3788,"(763.4816284179688, 567.12939453125)",0.65467364,1.0,4.0
1677.1698,"(764.5127563476562, 565.9422607421875)",0.6047413,1.0,4.0
1707.5764,"(765.495361328125, 565.3010864257812)",0.5703519,1.0,4.0
1701.1116,"(766.3890991210938, 564.7255859375)",0.56030613,1.0,4.0
1695.1362,"(766.5406494140625, 564.7012329101562)",0.5671548,1.0,4.0
1687.1207,"(766.7454223632812, 564.6602783203125)",0.56326765,1.0,4.0
1688.8115,"(766.0032958984375, 565.188720703125)",0.5936619,1.0,4.0
1623.3683,"(763.9660034179688, 565.6009521484375)",0.652614,1.0,4.0
1584.8402,"(761.1484375, 566.939453125)",0.6865941,1.0,4.0
1647.5701,"(760.3072509765625, 568.1780395507812)",0.65837556,1.0,4.0
1684.4478,"(759.681884765625, 568.2815551757812)",0.6369394,1.0,4.0
1681.0165,"(758.459228515625, 566.9056396484375)",0.64460135,1.0,4.0
1742.362,"(758.423095703125, 565.4464111328125)",0.6272697,1.0,4.0
1710.8406,"(759.3209228515625, 563.6038208007812)",0.61578095,1.0,4.0
1724.6265,"(760.0491943359375, 562.268310546875)",0.6237339,1.0,4.0
1767.527,"(762.0247802734375, 562.0377807617188)",0.6255418,1.0,4.0
1787.2745,"(762.363037109375, 561.6048583984375)",0.6515107,1.0,4.0
1829.7549,"(762.583740234375, 561.7030029296875)",0.62288547,1.0,4.0
1840.128,"(762.66748046875, 562.0047607421875)",0.6180342,1.0,4.0
1774.6111,"(763.592529296875, 562.4308471679688)",0.52941567,1.0,4.0
1737.5503,"(762.942626953125, 563.1744384765625)",0.55859923,1.0,4.0
1751.2292,"(761.8823852539062, 563.6590576171875)",0.5207223,1.0,4.0
1746.444,"(761.2833251953125, 563.6070556640625)",0.51302767,1.0,4.0
1712.9784,"(760.3231201171875, 563.1240844726562)",0.5358759,1.0,4.0
1752.3508,"(759.2459716796875, 562.8642578125)",0.62059677,1.0,4.0
1750.7069,"(758.5673217773438, 561.2427978515625)",0.5965076,1.0,4.0
1792.9354,"(757.8746337890625, 559.4529418945312)",0.55238634,1.0,4.0
1854.4656,"(757.408203125, 558.5977783203125)",0.5818103,1.0,4.0
1864.0397,"(757.5521850585938, 558.275634765625)",0.616627,1.0,4.0
1915.1377,"(757.450439453125, 558.048095703125)",0.49440184,1.0,4.0
1914.854,"(757.5848388671875, 558.04736328125)",0.5020026,1.0,4.0
1781.6572,"(757.406982421875, 559.146484375)",0.50100166,1.0,4.0
1748.7611,"(757.1691284179688, 560.24951171875)",0.54998815,1.0,4.0
1808.511,"(758.2711791992188, 561.49267578125)",0.5368015,1.0,4.0
1825.6727,"(758.4205322265625, 562.2879638671875)",0.56688714,1.0,4.0
1827.8503,"(758.6573486328125, 562.087890625)",0.5206506,1.0,4.0
1795.7634,"(758.6722412109375, 561.2596435546875)",0.47338456,1.0,4.0
1783.6226,"(758.93408203125, 560.4801025390625)",0.46419463,1.0,4.0
1780.3655,"(759.1522216796875, 560.1928100585938)",0.46981126,1.0,4.0
1830.7831,"(758.9580078125, 560.2400512695312)",0.48966226,1.0,4.0
1883.5337,"(758.9569091796875, 560.183837890625)",0.42571783,1.0,4.0
1924.5234,"(758.8685302734375, 559.1388549804688)",0.4366416,1.0,4.0
1951.2971,"(758.6702880859375, 558.8373413085938)",0.43705863,1.0,4.0
1916.0017,"(760.099609375, 559.8917236328125)",0.469571,1.0,4.0
1896.5076,"(760.4161376953125, 560.2572021484375)",0.4792718,1.0,4.0
1844.5817,"(760.8739013671875, 560.303955078125)",0.5143368,1.0,4.0
1843.7046,"(760.5828857421875, 560.2739868164062)",0.50554466,1.0,4.0
1798.2302,"(760.6373291015625, 560.1868896484375)",0.54880756,1.0,4.0
1810.3224,"(760.3187255859375, 560.3408203125)",0.55247664,1.0,4.0
1804.422,"(760.3234252929688, 560.516357421875)",0.5241993,1.0,4.0
1839.2549,"(759.9503173828125, 560.4000244140625)",0.5441821,1.0,4.0
1818.5931,"(759.7708740234375, 559.5882568359375)",0.5377752,1.0,4.0
1793.3842,"(759.80517578125, 558.8250732421875)",0.5190664,1.0,4.0
1820.5394,"(759.721435546875, 558.9114990234375)",0.44461334,1.0,4.0
1875.6782,"(759.6126708984375, 559.3438720703125)",0.41776568,1.0,4.0
1807.7603,"(759.9488525390625, 558.5880126953125)",0.3857338,1.0,4.0
1779.8619,"(760.0703125, 557.920654296875)",0.38152486,1.0,4.0
1748.2872,"(760.3258056640625, 557.6033325195312)",0.41001546,1.0,4.0
1741.7129,"(760.1022338867188, 557.6375732421875)",0.4506736,1.0,4.0
1763.6058,"(760.0158081054688, 557.6309204101562)",0.5523171,1.0,4.0
1837.7434,"(759.8077392578125, 557.326171875)",0.49343818,1.0,4.0
1868.3065,"(760.0751953125, 557.26953125)",0.51599044,1.0,4.0
1903.358,"(760.0325927734375, 557.3387451171875)",0.5053399,1.0,4.0
1901.8586,"(759.5625, 555.867431640625)",0.3979861,1.0,4.0
1945.6469,"(758.609130859375, 554.632568359375)",0.39191002,1.0,4.0
2115.2207,"(757.2407836914062, 552.9437255859375)",0.313556,1.0,2.0
2138.963,"(756.456298828125, 552.0390014648438)",0.23147827,1.0,2.0
2150.81,"(756.1241455078125, 551.7455444335938)",0.3019064,1.0,2.0
2156.684,"(755.6072387695312, 551.884765625)",0.2507765,1.0,2.0
2133.5068,"(754.943359375, 551.1091918945312)",0.26963088,1.0,2.0
2121.3499,"(754.5309448242188, 550.9072875976562)",0.24438375,1.0,2.0
2104.249,"(754.6075439453125, 551.1982421875)",0.23544559,1.0,2.0
2092.3948,"(754.6346435546875, 551.0236206054688)",0.24415474,1.0,2.0
2104.279,"(755.05029296875, 551.0111083984375)",0.3030061,1.0,2.0
2086.7512,"(755.8934936523438, 551.1660766601562)",0.357051,1.0,2.0
2025.1312,"(756.3793334960938, 550.8864135742188)",0.33435115,1.0,2.0
1958.1769,"(756.59716796875, 550.7456665039062)",0.2567945,1.0,2.0
1918.4991,"(757.628662109375, 550.82861328125)",0.3104752,1.0,2.0
1912.1184,"(758.1085205078125, 550.7899169921875)",0.3228435,1.0,2.0
1835.551,"(757.6929931640625, 550.019287109375)",0.45831764,1.0,2.0
1796.679,"(756.6599731445312, 550.1810913085938)",0.43051258,1.0,2.0
1881.774,"(755.8673706054688, 549.6929931640625)",0.390947,1.0,2.0
1924.325,"(755.9879150390625, 549.9927978515625)",0.2676542,1.0,2.0
1953.706,"(754.7667236328125, 549.296630859375)",0.3026631,1.0,2.0
1855.3003,"(752.0587158203125, 548.708251953125)",0.3598354,1.0,4.0
1818.6187,"(752.0029907226562, 549.2657470703125)",0.37343526,1.0,4.0
1812.4652,"(751.6265258789062, 549.00830078125)",0.44870335,1.0,4.0
1762.1807,"(751.521728515625, 548.1661376953125)",0.4707582,1.0,4.0
1720.5277,"(751.6109619140625, 547.490478515625)",0.49405202,1.0,4.0
1692.9869,"(752.0444946289062, 546.6954956054688)",0.46921727,1.0,4.0
1698.7032,"(752.180908203125, 546.4869995117188)",0.53007483,1.0,4.0
1587.5502,"(752.1304931640625, 546.5496826171875)",0.45458806,1.0,4.0
1625.1309,"(753.18994140625, 547.400634765625)",0.39967537,1.0,4.0
1666.7302,"(754.3785400390625, 548.3843383789062)",0.22196272,1.0,2.0
1731.2769,"(754.9736328125, 549.7430419921875)",0.2213535,1.0,2.0
1769.1921,"(755.2323608398438, 550.398193359375)",0.21578746,1.0,2.0
1820.8964,"(754.893310546875, 550.413330078125)",0.2197313,1.0,4.0
1794.9792,"(754.592529296875, 550.216796875)",0.28097132,1.0,4.0
1798.6438,"(754.8643798828125, 549.8142700195312)",0.22197981,1.0,4.0
1720.7571,"(754.0299072265625, 549.2245483398438)",0.44766968,1.0,4.0
1632.7035,"(752.47314453125, 548.3258056640625)",0.53231233,1.0,4.0
1594.7064,"(751.9550170898438, 547.802978515625)",0.5331479,1.0,4.0
1647.2634,"(751.3585205078125, 548.0260620117188)",0.5107929,1.0,4.0
1667.5603,"(750.5867919921875, 548.5452880859375)",0.47258645,1.0,4.0
1714.8983,"(750.3538818359375, 549.0792236328125)",0.47059932,1.0,4.0
1808.4183,"(750.89599609375, 549.8494873046875)",0.43444023,1.0,4.0
1833.8439,"(752.528564453125, 550.343017578125)",0.43878227,1.0,4.0
1811.4447,"(751.2750854492188, 550.2738037109375)",0.50728184,1.0,4.0
1810.5504,"(750.8729248046875, 550.3131713867188)",0.4819946,1.0,4.0
1761.9785,"(752.3611450195312, 550.3375244140625)",0.48918626,1.0,4.0
1734.6957,"(753.2429809570312, 550.2462158203125)",0.5073962,1.0,4.0
1680.9255,"(751.7255859375, 549.3155517578125)",0.5248224,1.0,4.0
1673.234,"(751.2119140625, 548.8160400390625)",0.5312811,1.0,4.0
1602.8679,"(750.6292724609375, 547.8973388671875)",0.54092747,1.0,4.0
1594.7423,"(750.4742431640625, 547.72802734375)",0.5404107,1.0,4.0
1584.8444,"(750.1676635742188, 548.175048828125)",0.46804136,1.0,4.0
1587.2435,"(749.437255859375, 548.72021484375)",0.46280795,1.0,4.0
1631.844,"(748.7543334960938, 548.8858642578125)",0.44898877,1.0,4.0
1680.759,"(746.5265502929688, 548.91552734375)",0.5022874,1.0,4.0
1694.6133,"(745.9382934570312, 548.6705322265625)",0.49258626,1.0,4.0
1706.7318,"(747.0440673828125, 548.3322143554688)",0.4685389,1.0,4.0
1682.1793,"(747.5763549804688, 547.4461669921875)",0.47285125,1.0,4.0
1629.5441,"(748.9344482421875, 546.9910888671875)",0.46533927,1.0,4.0
