ID	Class	Confidence	Midpoint	Area
1.0	4.0	0.6673303	(764.1011962890625, 569.6212158203125)	1629.8713
1.0	4.0	0.6892724	(763.3602294921875, 569.9087524414062)	1598.6123
1.0	4.0	0.6883185	(762.5098876953125, 570.2496337890625)	1634.4215
1.0	4.0	0.6793385	(762.64208984375, 569.7235107421875)	1618.5693
1.0	4.0	0.65071356	(763.0720825195312, 568.546142578125)	1667.324
1.0	4.0	0.65467364	(763.4816284179688, 567.12939453125)	1651.3788
1.0	4.0	0.6047413	(764.5127563476562, 565.9422607421875)	1677.1698
1.0	4.0	0.5703519	(765.495361328125, 565.3010864257812)	1707.5764
1.0	4.0	0.56030613	(766.3890991210938, 564.7255859375)	1701.1116
1.0	4.0	0.5671548	(766.5406494140625, 564.7012329101562)	1695.1362
1.0	4.0	0.56326765	(766.7454223632812, 564.6602783203125)	1687.1207
1.0	4.0	0.5936619	(766.0032958984375, 565.188720703125)	1688.8115
1.0	4.0	0.652614	(763.9660034179688, 565.6009521484375)	1623.3683
1.0	4.0	0.6865941	(761.1484375, 566.939453125)	1584.8402
1.0	4.0	0.65837556	(760.3072509765625, 568.1780395507812)	1647.5701
1.0	4.0	0.6369394	(759.681884765625, 568.2815551757812)	1684.4478
1.0	4.0	0.64460135	(758.459228515625, 566.9056396484375)	1681.0165
1.0	4.0	0.6272697	(758.423095703125, 565.4464111328125)	1742.362
1.0	4.0	0.61578095	(759.3209228515625, 563.6038208007812)	1710.8406
1.0	4.0	0.6237339	(760.0491943359375, 562.268310546875)	1724.6265
1.0	4.0	0.6255418	(762.0247802734375, 562.0377807617188)	1767.527
1.0	4.0	0.6515107	(762.363037109375, 561.6048583984375)	1787.2745
1.0	4.0	0.62288547	(762.583740234375, 561.7030029296875)	1829.7549
1.0	4.0	0.6180342	(762.66748046875, 562.0047607421875)	1840.128
1.0	4.0	0.52941567	(763.592529296875, 562.4308471679688)	1774.6111
1.0	4.0	0.55859923	(762.942626953125, 563.1744384765625)	1737.5503
1.0	4.0	0.5207223	(761.8823852539062, 563.6590576171875)	1751.2292
1.0	4.0	0.51302767	(761.2833251953125, 563.6070556640625)	1746.444
1.0	4.0	0.5358759	(760.3231201171875, 563.1240844726562)	1712.9784
1.0	4.0	0.62059677	(759.2459716796875, 562.8642578125)	1752.3508
1.0	4.0	0.5965076	(758.5673217773438, 561.2427978515625)	1750.7069
1.0	4.0	0.55238634	(757.8746337890625, 559.4529418945312)	1792.9354
1.0	4.0	0.5818103	(757.408203125, 558.5977783203125)	1854.4656
1.0	4.0	0.616627	(757.5521850585938, 558.275634765625)	1864.0397
1.0	4.0	0.49440184	(757.450439453125, 558.048095703125)	1915.1377
1.0	4.0	0.5020026	(757.5848388671875, 558.04736328125)	1914.854
1.0	4.0	0.50100166	(757.406982421875, 559.146484375)	1781.6572
1.0	4.0	0.54998815	(757.1691284179688, 560.24951171875)	1748.7611
1.0	4.0	0.5368015	(758.2711791992188, 561.49267578125)	1808.511
1.0	4.0	0.56688714	(758.4205322265625, 562.2879638671875)	1825.6727
1.0	4.0	0.5206506	(758.6573486328125, 562.087890625)	1827.8503
1.0	4.0	0.47338456	(758.6722412109375, 561.2596435546875)	1795.7634
